요구사항명,검수 기준,구분,단계,담당자,비고,상세 설명,상태,요구사항 ID,우선순위,Related to WBS 개발 진행 데이터베이스 (↔ 요구사항),↔ 시나리오,기능계층
키오스크 메뉴 목록 조회,"카테고리 선택 시 해당 카테고리의 메뉴명, 가격, 이미지, 품절 상태가 목록에 표시된다.",기능,FWD,,"API-001, API-002와 연결한다.",사용자는 키오스크에서 카테고리별 메뉴 목록을 조회할 수 있어야 한다.,예정,FWD-MENU-001,상,,신규 고객의 기본 주문 흐름 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%8B%A0%EA%B7%9C%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EA%B8%B0%EB%B3%B8%20%EC%A3%BC%EB%AC%B8%20%ED%9D%90%EB%A6%84%2039151ef04f0b81a8a6bcd5370f9cb200.md),기본기능
관리자 주문 상태 변경,주문 상태 변경 후 DB와 관리자 주문 상세 화면에 변경 결과가 반영된다.,관리자,LMIS,,API-008과 연결. 주문 상태는 common_code 기준을 따른다.,"관리자는 주문 상태를 RECEIVED, PREPARING, COMPLETED 흐름에 맞게 변경할 수 있어야 한다.",예정,LMIS-ORDER-003,상,"백엔드: 관리자 주문 목록/상태변경 API (API-007/008) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%B0%B1%EC%97%94%EB%93%9C%20%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EB%AA%A9%EB%A1%9D%20%EC%83%81%ED%83%9C%EB%B3%80%EA%B2%BD%20API%20(API-007%20008)%2039451ef04f0b81ceae70cb1a89037fa9.md), 프론트: 관리자 주문 관리/상세 화면 구현 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%94%84%EB%A1%A0%ED%8A%B8%20%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EA%B4%80%EB%A6%AC%20%EC%83%81%EC%84%B8%20%ED%99%94%EB%A9%B4%20%EA%B5%AC%ED%98%84%2039451ef04f0b81beb9f2ccfa15215395.md)",,기본기능
관리자 로그인,"올바른 계정으로 로그인 시 관리자 화면에 접근 가능하고, 잘못된 계정은 접근이 제한된다.",관리자,LMIS,,"Week 5 MVP 인증 생략. 추적: SCR-015, SC-008",관리자는 계정 정보를 이용해 관리자 시스템에 로그인할 수 있어야 한다.,제외,LMIS-AUTH-001,중,,관리자의 주문 상태 관리 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%EC%A3%BC%EB%AC%B8%20%EC%83%81%ED%83%9C%20%EA%B4%80%EB%A6%AC%2039151ef04f0b81a4b874ea63b2e87f81.md),추가기능
데이터는 Spring Boot를 통해서만 접근,DB 접속 설정은 Spring Boot 프로젝트에만 존재한다.,비기능,KSD,,백엔드 API 경유 원칙은 MVP 아키텍처 기준,React와 모의 장치/RTOS Simulator는 DB에 직접 접근하지 않고 Spring Boot API를 통해서만 데이터를 처리해야 한다.,예정,KSD-ARCH-001,상,,,기본기능
가상 결제 처리,결제 요청 성공 시 payment 데이터가 저장되고 주문 완료 화면으로 이동할 수 있다.,API,DEV,,API-006과 연결한다.,실제 결제 연동 없이 주문 금액을 기준으로 가상 결제 성공 처리를 수행한다.,예정,DEV-PAY-001,상,,,기본기능
영수증 출력 요청,영수증 출력 요청 시 주문번호와 결제금액을 포함한 장치 이벤트가 생성된다.,장치,RTOS,,실제 프린터 연동은 확장 범위이며 MVP에서는 모의 이벤트로 처리한다.,사용자가 영수증 출력을 선택하면 주문 정보를 기반으로 영수증 출력 요청을 생성한다.,예정,RTOS-DEVICE-002,중,,,추가기능
테스트 시나리오 기반 검증,핵심 테스트 케이스 수행 결과가 기록되고 오류 발생 여부가 확인된다.,비기능,TEST,,09. 테스트/오류 관리 문서와 연결한다.,"작성된 테스트 시나리오를 기준으로 주요 주문, 결제, 관리자, 품절 흐름을 검증한다.",예정,TEST-SYS-001,상,,,기본기능
장치 이벤트 로그 조회,"장치 이벤트 발생 시 이벤트 유형, 주문번호, 상태, 발생 시간이 기록되고 조회된다.",장치,RTOS,,08. 장치/RTOS 연계 문서와 연결한다.,"관리자는 영수증 출력, QR/바코드 스캔 등 장치 이벤트 처리 내역을 조회할 수 있어야 한다.",예정,RTOS-DEVICE-003,중,,,추가기능
관리자 주문 상세 조회,주문 상세 화면에서 주문 메뉴별 선택 옵션과 제외 재료가 구분되어 표시된다.,관리자,LMIS,,API-007과 연결. Week 6(SCR-009~011) MVP에서는 목록 API 응답에 상세 데이터를 포함한다.,"관리자는 특정 주문의 메뉴, 수량, 선택 옵션, 제외 재료, 결제 상태, 주문 상태를 상세 확인할 수 있어야 한다.",예정,LMIS-ORDER-002,상,"백엔드: 관리자 주문 목록/상태변경 API (API-007/008) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%B0%B1%EC%97%94%EB%93%9C%20%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EB%AA%A9%EB%A1%9D%20%EC%83%81%ED%83%9C%EB%B3%80%EA%B2%BD%20API%20(API-007%20008)%2039451ef04f0b81ceae70cb1a89037fa9.md), 프론트: 관리자 주문 관리/상세 화면 구현 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%94%84%EB%A1%A0%ED%8A%B8%20%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EA%B4%80%EB%A6%AC%20%EC%83%81%EC%84%B8%20%ED%99%94%EB%A9%B4%20%EA%B5%AC%ED%98%84%2039451ef04f0b81beb9f2ccfa15215395.md)",관리자의 주문 상태 관리 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%EC%A3%BC%EB%AC%B8%20%EC%83%81%ED%83%9C%20%EA%B4%80%EB%A6%AC%2039151ef04f0b81a4b874ea63b2e87f81.md),기본기능
주문 생성,"주문 생성 요청 후 orders, order_item, order_item_option, item_exclusion에 필요한 데이터가 저장된다.",API,DEV,,API-005와 연결한다.,"고객이 선택한 메뉴, 수량, 옵션, 제외 재료, 먹고가기/포장 정보를 주문 데이터로 등록할 수 있어야 한다.",예정,DEV-ORDER-001,상,,,기본기능
QR/바코드 스캔 처리,스캔 요청 시 장치 이벤트가 생성되고 인식 결과가 화면 또는 관리자 로그에 반영된다.,장치,RTOS,,"제외(중복). 추적: SC-016, SCR-021, 정본 RTOS-DEVICE-006","QR 또는 바코드 스캔을 통해 쿠폰, 멤버십, 주문 식별 정보를 처리한다.",제외,RTOS-DEVICE-004,하,,QR/바코드로 쿠폰 인식 후 결제 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/QR%20%EB%B0%94%EC%BD%94%EB%93%9C%EB%A1%9C%20%EC%BF%A0%ED%8F%B0%20%EC%9D%B8%EC%8B%9D%20%ED%9B%84%20%EA%B2%B0%EC%A0%9C%2039151ef04f0b81f5892ce9384de4f834.md),추가기능
키오스크 터치 친화 UI,주요 버튼이 한눈에 보이고 마우스/터치로 쉽게 클릭 가능하다.,비기능,FWD,,터치 친화 UI는 MVP 사용성 기준,키오스크 화면은 터치 사용을 고려하여 버튼과 글자를 크게 배치해야 한다.,예정,FWD-UI-005,중,,,기본기능
서브웨이식 완전 자유 재료 조합,"자유 조합 메뉴의 가격, 영양정보, 알레르기 정보가 선택 재료 기준으로 계산된다. 단, Week 5 MVP에서는 제외한다.",기능,FWD,,Week 5 MVP에서는 기본 재료 제외와 정해진 옵션 선택까지만 구현한다. 자유 조합은 9주 후반(Week 7~8) 추가기능으로 분리한다.,"사용자가 정해진 메뉴 없이 베이스, 재료, 토핑을 자유롭게 조합해 주문할 수 있게 한다.",제외,FWD-MENU-011,하,,,추가기능
핵심 화면 전환 4단계 이내로 단순화,"주문 시작, 메뉴 선택, 옵션 선택, 장바구니/결제 흐름이 불필요한 중복 화면 없이 이어진다.",화면,FWD,,"키오스크 사용성 기준으로 화면 설계와 함께 검토한다. (2026-07-04 베미 확인) 여기서 '4단계'는 결제 직전(주문확인)까지만지정한 범위임: 메뉴선택→옵션선택→장바구니→주문확인(4개 화면). 결제완료까지 범위는 종합기획서/TC-002 기준(5개 화면, 결제 포함)을 따로 사용한다 — 둘은 서로 다른 구간을 재는 것이라 충돌이 아니다.",사용자가 주문 시작부터 결제 전 확인까지 과도한 화면 이동 없이 진행할 수 있도록 핵심 흐름을 단순화한다.,예정,FWD-UI-002,중,,,기본기능
CMS 실시간 원격 모니터링,"관리자가 원격으로 장치 상태를 조회하고, 장치 이벤트 로그를 확인할 수 있다. Week 5 MVP 범위에는 포함하지 않는다.",장치,RTOS,,CMS 원격 모니터링은 주문 MVP 완료 이후 RTOS/SYS 확장 기능으로 분리한다.,웹 기반 CMS를 통한 실시간 장치 모니터링 및 원격 제어.,제외,RTOS-SYS-001,하,,,추가기능
실시간 가격/영양정보 합산,옵션 변경 즉시 총 금액과 영양 요약 값이 화면에 반영된다.,기능,FWD,,Week 5 MVP(SCR-001~008)에서는 가격 합산을 우선하고 영양정보는 확장 가능 구조로 관리한다.,옵션 추가 또는 제외 시 화면의 가격과 칼로리/단백질 등 요약 정보가 갱신되어야 한다.,예정,FWD-MENU-009,중,,,옵션기능
한국어/영어 언어 전환 UI,"언어 전환 버튼 또는 선택 영역이 표시되고, 선택 상태가 화면에 반영된다.",화면,FWD,,Week 5 MVP(SCR-001~008)에서는 화면 요소만 우선 설계하고 전체 다국어 데이터는 9주 후반 확장으로 관리한다.,키오스크 상단에서 한국어와 영어 표시를 전환할 수 있는 UI를 제공한다.,예정,FWD-UI-003,하,,,추가기능
장바구니 수량 변경/삭제,수량 변경 및 삭제 시 장바구니 총액과 주문 확인 화면의 데이터가 즉시 갱신된다.,기능,FWD,,"FWD-CART-002와 중복. 추적: SC-009, SCR-005",사용자는 장바구니에서 담은 메뉴의 수량을 변경하거나 삭제할 수 있어야 한다.,제외,FWD-CART-003,상,,장바구니 수정(수량변경/삭제) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%EC%88%98%EC%A0%95(%EC%88%98%EB%9F%89%EB%B3%80%EA%B2%BD%20%EC%82%AD%EC%A0%9C)%2039151ef04f0b81ab9a44d01540d67a95.md),기본기능
피크타임 응답 지연 최소화,"핵심 API 호출 시 비정상적인 지연 없이 응답하고, 오류 발생 시 공통 오류 응답을 반환한다.",비기능,DEV,,동시성/성능 고도화는 이후 주차에서 보완한다.,"주문이 몰리는 상황에서도 메뉴 조회, 주문 생성, 결제 처리 응답이 과도하게 지연되지 않도록 구현한다.",예정,DEV-SYS-001,중,,,추가기능
관리자 주문 목록 조회,관리자 주문 목록 화면에서 주문 목록이 최신순으로 표시되고 각 주문의 주요 정보가 누락 없이 보인다.,관리자,LMIS,,API-007과 연결. 주문 상세 확인은 LMIS-ORDER-002에서 관리한다.,"관리자는 접수된 주문 목록을 조회하고 주문번호, 주문유형, 결제상태, 주문상태, 주문금액, 주문일시를 확인할 수 있어야 한다.",예정,LMIS-ORDER-001,상,"백엔드: 관리자 주문 목록/상태변경 API (API-007/008) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%B0%B1%EC%97%94%EB%93%9C%20%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EB%AA%A9%EB%A1%9D%20%EC%83%81%ED%83%9C%EB%B3%80%EA%B2%BD%20API%20(API-007%20008)%2039451ef04f0b81ceae70cb1a89037fa9.md), 프론트: 관리자 주문 관리/상세 화면 구현 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%94%84%EB%A1%A0%ED%8A%B8%20%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EA%B4%80%EB%A6%AC%20%EC%83%81%EC%84%B8%20%ED%99%94%EB%A9%B4%20%EA%B5%AC%ED%98%84%2039451ef04f0b81beb9f2ccfa15215395.md)",관리자의 주문 상태 관리 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%EC%A3%BC%EB%AC%B8%20%EC%83%81%ED%83%9C%20%EA%B4%80%EB%A6%AC%2039151ef04f0b81a4b874ea63b2e87f81.md),기본기능
인기 토핑 통계/발주 예측,기간별 토핑 판매량 통계가 조회되고 발주 참고 정보가 제공된다.,관리자,LMIS,,Week 5 MVP 범위에서 제외. 주문 데이터 누적 후 9주 로드맵(7/2~9/2) 후반 확장 기능으로 관리한다.,관리자는 요일/시간대별 인기 토핑 통계와 발주 예측 데이터를 확인할 수 있다.,예정,LMIS-MENU-005,하,,,추가기능
주문서 추가/제외 재료 강조 표시,추가 항목과 제외 항목이 시각적으로 구분되어 표시된다.,관리자,LMIS,,"order_item_option, item_exclusion과 연결한다.",관리자 주문 상세에서 추가 옵션과 제외 재료를 조리자가 쉽게 구분할 수 있도록 표시한다.,예정,LMIS-ORDER-006,상,,,기본기능
옵션 설명 문구 추가,옵션 선택 화면에서 필수/선택 여부와 선택 가능 개수가 명확하게 보인다.,화면,FWD,,API-004 옵션 그룹 정보와 연결한다.,"옵션 그룹별 필수 여부, 최대 선택 수, 추가 금액 등을 사용자가 이해하기 쉽게 표시한다.",예정,FWD-MENU-004,중,,,옵션기능
주문번호 자동 생성/저장,주문 생성 성공 응답에 orderNo가 포함되고 orders 테이블에 동일한 주문번호가 저장된다.,기능,LMIS,,API-005 주문 생성과 연결한다.,주문 생성 시 사용자가 확인할 수 있는 고유 주문번호를 자동 생성하고 주문 데이터에 저장한다.,예정,LMIS-ORDER-004,상,,,기본기능
스탬프 1회 확인 후 자동 적립,결제 완료 후 중복 확인 없이 적립 결과가 저장되고 안내된다.,기능,KSD,,"Week 5 MVP 범위에서 제외. 추적: SC-006, SCR-021, LMIS-MEMBER-001",사용자가 적립 여부를 한 번만 확인하면 결제 후 스탬프가 자동 적립되도록 한다.,제외,KSD-MEMBER-001,하,,멤버십 스탬프 1회 확인 후 자동 적립 (LMIS-MEMBER-001) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%A9%A4%EB%B2%84%EC%8B%AD%20%EC%8A%A4%ED%83%AC%ED%94%84%201%ED%9A%8C%20%ED%99%95%EC%9D%B8%20%ED%9B%84%20%EC%9E%90%EB%8F%99%20%EC%A0%81%EB%A6%BD%20(LMIS-MEMBER-001)%2039151ef04f0b81ebb344fed659c7976a.md),추가기능
