요구사항명,검수 기준,구분,단계,담당자,비고,상세 설명,상태,요구사항 ID,우선순위,Related to WBS 개발 진행 데이터베이스 (↔ 요구사항),↔ 시나리오,기능계층
결제 수단 노출,"결제 화면에 카드 결제 등 MVP 결제 수단이 표시되고, 결제 요청 버튼을 통해 API-006으로 연결된다.",화면,FWD,,결제 수단 설정 고도화는 이후 확장으로 관리한다.,주문 확인 후 사용자가 결제 수단을 선택하거나 확인할 수 있는 결제 화면을 제공한다.,예정,FWD-PAY-001,상,,"신규 고객의 기본 주문 흐름 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%8B%A0%EA%B7%9C%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EA%B8%B0%EB%B3%B8%20%EC%A3%BC%EB%AC%B8%20%ED%9D%90%EB%A6%84%2039151ef04f0b81a8a6bcd5370f9cb200.md), 재방문 고객의 빠른 주문(속도 중심) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9E%AC%EB%B0%A9%EB%AC%B8%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EB%B9%A0%EB%A5%B8%20%EC%A3%BC%EB%AC%B8(%EC%86%8D%EB%8F%84%20%EC%A4%91%EC%8B%AC)%2039151ef04f0b8161aa65f28c31b0c440.md), 결제 성공 흐름(수단 노출 포함) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B2%B0%EC%A0%9C%20%EC%84%B1%EA%B3%B5%20%ED%9D%90%EB%A6%84(%EC%88%98%EB%8B%A8%20%EB%85%B8%EC%B6%9C%20%ED%8F%AC%ED%95%A8)%2039151ef04f0b81abb8d5c758031d1251.md)",기본기능
판매 항목 품절 처리,"품절 처리 시 메뉴 목록, 메뉴 상세, 옵션 선택 화면의 품절 표시와 선택 가능 여부가 같은 기준으로 반영된다.",관리자,LMIS,,API-009와 연결. 핵심 재료/베이스 재료/일반 재료/옵션 항목 품절 기준을 구분한다.,"관리자는 메뉴, 재료, 옵션항목 단위로 품절 여부를 변경할 수 있어야 한다.",예정,LMIS-MENU-001,상,,"품절 판매 항목이 포함된 상황에서의 주문 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%92%88%EC%A0%88%20%ED%8C%90%EB%A7%A4%20%ED%95%AD%EB%AA%A9%EC%9D%B4%20%ED%8F%AC%ED%95%A8%EB%90%9C%20%EC%83%81%ED%99%A9%EC%97%90%EC%84%9C%EC%9D%98%20%EC%A3%BC%EB%AC%B8%2039151ef04f0b8138b9cbebbf1b185ce7.md), 관리자의 판매 항목 품절 처리 (LMIS-MENU-001) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%ED%8C%90%EB%A7%A4%20%ED%95%AD%EB%AA%A9%20%ED%92%88%EC%A0%88%20%EC%B2%98%EB%A6%AC%20(LMIS-MENU-001)%2039151ef04f0b81108c44f3390d12c241.md)",옵션기능
옵션 선택(단일/다중 구분),옵션 그룹의 선택 규칙을 초과하면 주문 생성 또는 장바구니 담기가 제한된다.,기능,FWD,,"option_group, menu_option_group, option_item 구조와 연결한다.","옵션 그룹별로 단일 선택, 다중 선택, 필수 여부, 최대 선택 수를 구분해 선택할 수 있어야 한다.",예정,FWD-MENU-012,상,,,기본기능
메뉴 대표 이미지 제공,"메뉴 카드와 상세 영역에 이미지가 표시되고, 이미지가 없는 경우 대체 표시가 깨지지 않는다.",화면,FWD,,ASAK 가상 메뉴 이미지 기준으로 적용한다.,메뉴 목록과 메뉴 상세 화면에서 메뉴를 식별할 수 있는 대표 이미지를 제공한다.,예정,FWD-MENU-003,중,,신규 고객의 기본 주문 흐름 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%8B%A0%EA%B7%9C%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EA%B8%B0%EB%B3%B8%20%EC%A3%BC%EB%AC%B8%20%ED%9D%90%EB%A6%84%2039151ef04f0b81a8a6bcd5370f9cb200.md),기본기능
결제 데이터 무결성 보장,결제 실패 시 payment 상태가 실패로 기록되거나 주문이 결제 완료로 처리되지 않는다.,비기능,KSD,,"Week 5 MVP에서는 가상 결제 성공 흐름 중심으로 구현하고, 망취소는 Week 7~8 확장으로 관리한다.",결제 처리 중 실패 또는 중단 상황이 발생해도 주문과 결제 데이터가 서로 불일치하지 않도록 관리한다.,예정,KSD-PAY-001,중,,"결제 성공 흐름(수단 노출 포함) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B2%B0%EC%A0%9C%20%EC%84%B1%EA%B3%B5%20%ED%9D%90%EB%A6%84(%EC%88%98%EB%8B%A8%20%EB%85%B8%EC%B6%9C%20%ED%8F%AC%ED%95%A8)%2039151ef04f0b81abb8d5c758031d1251.md), 결제 실패 흐름 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B2%B0%EC%A0%9C%20%EC%8B%A4%ED%8C%A8%20%ED%9D%90%EB%A6%84%2039151ef04f0b8136afedfbe033869bc0.md)",추가기능
QR/바코드 스캔(쿠폰/멤버십),스캔 성공 시 쿠폰/멤버십 식별 정보가 주문 또는 적립 흐름에 반영된다.,장치,RTOS,,"제외(중복). 추적: SC-016, SCR-021, 정본 RTOS-DEVICE-006",QR/바코드 스캔을 통해 쿠폰 또는 멤버십 정보를 인식한다.,제외,RTOS-DEVICE-005,하,,QR/바코드로 쿠폰 인식 후 결제 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/QR%20%EB%B0%94%EC%BD%94%EB%93%9C%EB%A1%9C%20%EC%BF%A0%ED%8F%B0%20%EC%9D%B8%EC%8B%9D%20%ED%9B%84%20%EA%B2%B0%EC%A0%9C%2039151ef04f0b81f5892ce9384de4f834.md),추가기능
알레르기/비건 태그 표시,"메뉴 상세 화면에서 알레르기 태그가 표시되고, 한 메뉴에 여러 알레르기 항목이 있을 수 있다.",화면,FWD,,"ingredient, allergen, ingredient_allergen 구조와 연결한다.",메뉴 또는 재료에 연결된 알레르기 유발 정보와 비건 여부를 태그로 표시한다.,예정,FWD-MENU-008,중,,알레르기/비건 태그 확인 후 주문 (FWD-MENU-008) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%95%8C%EB%A0%88%EB%A5%B4%EA%B8%B0%20%EB%B9%84%EA%B1%B4%20%ED%83%9C%EA%B7%B8%20%ED%99%95%EC%9D%B8%20%ED%9B%84%20%EC%A3%BC%EB%AC%B8%20(FWD-MENU-008)%2039151ef04f0b814bbbbdc963ec6b8096.md),옵션기능
결제 성공/실패 처리,"결제 성공 응답은 주문 완료 화면으로 연결되고, 실패 응답은 사용자에게 재시도 또는 안내 메시지를 제공한다.",기능,FWD,,API-006과 연결한다. Week 5 MVP(SCR-001~008)는 성공 흐름 중심으로 구현한다.,"결제 성공 시 주문 완료 화면으로 이동하고, 결제 실패 시 실패 원인을 안내한다.",예정,FWD-PAY-002,상,,"신규 고객의 기본 주문 흐름 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%8B%A0%EA%B7%9C%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EA%B8%B0%EB%B3%B8%20%EC%A3%BC%EB%AC%B8%20%ED%9D%90%EB%A6%84%2039151ef04f0b81a8a6bcd5370f9cb200.md), 결제 성공 흐름(수단 노출 포함) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B2%B0%EC%A0%9C%20%EC%84%B1%EA%B3%B5%20%ED%9D%90%EB%A6%84(%EC%88%98%EB%8B%A8%20%EB%85%B8%EC%B6%9C%20%ED%8F%AC%ED%95%A8)%2039151ef04f0b81abb8d5c758031d1251.md), 결제 실패 흐름 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B2%B0%EC%A0%9C%20%EC%8B%A4%ED%8C%A8%20%ED%9D%90%EB%A6%84%2039151ef04f0b8136afedfbe033869bc0.md)",기본기능
핵심 API 응답속도 목표치 구체화,"정한 목표 시간 내 응답 여부를 테스트 기준에 포함하고, 지연 시 오류 또는 로딩 처리를 확인한다.",비기능,DEV,,성능 목표는 개발 진행 후 현실적인 수치로 조정 가능하다.,"메뉴 목록, 옵션 조회, 주문 생성, 결제 처리 등 핵심 API의 응답 목표 시간을 정한다.",예정,DEV-SYS-002,중,,,추가기능
영수증 출력 여부 선택,"결제 완료 화면에서 영수증 출력 버튼이 제공되고, 선택 시 영수증 출력 요청 흐름으로 연결된다.",장치,RTOS,,중복 제외 (2026-07-06): RTOS-DEVICE-001 정본은 '영수증 출력 처리'. SC-015·WBS-034는 정본에 연결됨.,결제 완료 후 사용자가 영수증 출력 여부를 선택할 수 있어야 한다.,제외,RTOS-DEVICE-001,중,,,추가기능
카테고리별 메뉴 조회,카테고리 탭 클릭 시 해당 메뉴 목록이 표시되고 다른 카테고리 메뉴와 섞이지 않는다.,기능,FWD,,"API-001, API-002와 연결한다.",사용자는 카테고리 탭을 선택해 해당 카테고리의 메뉴만 조회할 수 있어야 한다.,예정,FWD-MENU-006,상,,,기본기능
메뉴 등록/수정/삭제,메뉴 CRUD 처리 후 키오스크 메뉴 목록과 상세 화면의 데이터가 변경 결과와 일치한다.,관리자,LMIS,,Week 6(SCR-009~011) 이후 확장 기능으로 관리한다. API-012에 삭제(DELETE) 범위를 함께 포함한다.,"관리자는 메뉴 정보를 등록, 수정, 삭제할 수 있어야 한다.",예정,LMIS-MENU-004,중,,관리자의 신규 메뉴 등록 (LMIS-MENU-004) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%EC%8B%A0%EA%B7%9C%20%EB%A9%94%EB%89%B4%20%EB%93%B1%EB%A1%9D%20(LMIS-MENU-004)%2039151ef04f0b81758d4cdaca3d3aedfc.md),추가기능
주문번호/대기시간 표시,"결제 완료 후 주문번호가 화면에 표시되고, 사용자가 자신의 주문을 식별할 수 있다.",화면,FWD,,대기시간은 Week 5 MVP(SCR-001~008)에서는 고정 안내 또는 간단 문구로 처리한다.,주문 완료 후 사용자에게 주문번호와 대기 안내 정보를 표시한다.,예정,FWD-ORDER-002,중,,,기본기능
재료 제외 옵션,"재료 제외 선택 시 장바구니, 주문 생성 요청, 관리자 주문 상세에 제외 재료가 표시된다.",기능,FWD,,item_exclusion 저장 구조와 연결한다.,사용자는 기본 메뉴에 포함된 재료 중 원하지 않는 재료를 제외할 수 있어야 한다.,예정,FWD-MENU-007,상,,재료 제외(-) 옵션으로 커스텀 주문 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9E%AC%EB%A3%8C%20%EC%A0%9C%EC%99%B8(-)%20%EC%98%B5%EC%85%98%EC%9C%BC%EB%A1%9C%20%EC%BB%A4%EC%8A%A4%ED%85%80%20%EC%A3%BC%EB%AC%B8%2039151ef04f0b81c6a8f7dcfa29cd4eb2.md),기본기능
선택 옵션 텍스트 요약 표시,"선택 옵션과 제외 재료가 메뉴별로 구분되어 표시되고, 관리자 주문 상세 데이터와 의미가 일치한다.",화면,FWD,,"order_item_option, item_exclusion 저장 구조와 연결한다.",장바구니와 주문 확인 화면에서 사용자가 선택한 옵션과 제외 재료를 텍스트로 요약 표시한다.,예정,FWD-CART-001,상,,"신규 고객의 기본 주문 흐름 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%8B%A0%EA%B7%9C%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EA%B8%B0%EB%B3%B8%20%EC%A3%BC%EB%AC%B8%20%ED%9D%90%EB%A6%84%2039151ef04f0b81a8a6bcd5370f9cb200.md), 재방문 고객의 빠른 주문(속도 중심) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9E%AC%EB%B0%A9%EB%AC%B8%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EB%B9%A0%EB%A5%B8%20%EC%A3%BC%EB%AC%B8(%EC%86%8D%EB%8F%84%20%EC%A4%91%EC%8B%AC)%2039151ef04f0b8161aa65f28c31b0c440.md)",기본기능
일별 매출/판매량 조회,관리자 화면에서 기간별 매출 확인 가능,관리자,LMIS,,"Week 5 MVP 제외. API-015, SC-018. (상태변경 LMIS-ORDER-003과 ID 충돌 방지로 005 유지)",일별 매출 및 메뉴별 판매량을 조회할 수 있어야 한다.,예정,LMIS-ORDER-005,중,,관리자의 일별 매출 조회 (LMIS-ORDER-005) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%EC%9D%BC%EB%B3%84%20%EB%A7%A4%EC%B6%9C%20%EC%A1%B0%ED%9A%8C%20(LMIS-ORDER-005)%2039151ef04f0b8197a3eef6305fe345c6.md),옵션기능
매장/포장 구분 표시,"주문 생성 요청에 orderType이 포함되고, 관리자 주문 화면에서 매장/포장 구분이 확인된다.",기능,FWD,,"API-005 주문 생성, API-007 관리자 주문 목록/상세 조회와 연결한다.","사용자가 주문 시작 시 매장 식사와 포장 중 하나를 선택하고, 선택값이 주문 정보에 반영되어야 한다.",예정,FWD-ORDER-001,상,,매장/포장 여부 선택 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%A7%A4%EC%9E%A5%20%ED%8F%AC%EC%9E%A5%20%EC%97%AC%EB%B6%80%20%EC%84%A0%ED%83%9D%2039151ef04f0b81a8aba7e755a9ce72c4.md),기본기능
