요구사항명,검수 기준,구분,단계,담당자,비고,상세 설명,상태,요구사항 ID,우선순위,Related to WBS 개발 진행 데이터베이스 (↔ 요구사항),↔ 시나리오,기능계층
접근성을 고려한 UI 제공,"주요 화면의 핵심 문구와 버튼이 충분한 크기와 대비로 표시되고, 터치 영역이 좁지 않게 구성된다.",화면,FWD,,"글자 확대, 저시력자 배려, 키오스크 터치 환경을 고려한다.","키오스크 사용자가 화면을 쉽게 읽고 조작할 수 있도록 글자 크기, 버튼 크기, 대비, 간격을 고려한 UI를 제공한다.",예정,FWD-UI-001,중,,"신규 고객의 기본 주문 흐름 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%8B%A0%EA%B7%9C%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EA%B8%B0%EB%B3%B8%20%EC%A3%BC%EB%AC%B8%20%ED%9D%90%EB%A6%84%2039151ef04f0b81a8a6bcd5370f9cb200.md), 재방문 고객의 빠른 주문(속도 중심) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9E%AC%EB%B0%A9%EB%AC%B8%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EB%B9%A0%EB%A5%B8%20%EC%A3%BC%EB%AC%B8(%EC%86%8D%EB%8F%84%20%EC%A4%91%EC%8B%AC)%2039151ef04f0b8161aa65f28c31b0c440.md)",추가기능
일정 시간 미입력 시 초기화면 자동 복귀,지정 시간 동안 입력이 없을 때 장바구니와 선택 상태가 초기화되고 시작 화면으로 이동한다.,기능,FWD,,정본 (2026-07-06): SC-012·WBS-021/028 링크 이전 완료,사용자가 일정 시간 동안 조작하지 않으면 키오스크 화면을 초기 상태로 되돌린다.,예정,FWD-SYS-001,중,"프론트: 타임아웃 정책/카운트다운 기준 확정 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%94%84%EB%A1%A0%ED%8A%B8%20%ED%83%80%EC%9E%84%EC%95%84%EC%9B%83%20%EC%A0%95%EC%B1%85%20%EC%B9%B4%EC%9A%B4%ED%8A%B8%EB%8B%A4%EC%9A%B4%20%EA%B8%B0%EC%A4%80%20%ED%99%95%EC%A0%95%2039151ef04f0b8157af4be4929ce23635.md), 프론트: 타임아웃 안내/자동 초기화 구현 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%94%84%EB%A1%A0%ED%8A%B8%20%ED%83%80%EC%9E%84%EC%95%84%EC%9B%83%20%EC%95%88%EB%82%B4%20%EC%9E%90%EB%8F%99%20%EC%B4%88%EA%B8%B0%ED%99%94%20%EA%B5%AC%ED%98%84%2039251ef04f0b8123809bdd11425f4c8d.md)",일정시간 미입력 시 자동 초기화 (FWD-SYS-001) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9D%BC%EC%A0%95%EC%8B%9C%EA%B0%84%20%EB%AF%B8%EC%9E%85%EB%A0%A5%20%EC%8B%9C%20%EC%9E%90%EB%8F%99%20%EC%B4%88%EA%B8%B0%ED%99%94%20(FWD-SYS-001)%2039151ef04f0b816dac73e50493047aac.md),추가기능
드레싱 별도포장 추가 옵션,드레싱 별도포장 선택값이 장바구니와 주문 생성 요청에 반영된다.,기능,FWD,,"API-004 옵션 조회, API-005 주문 생성과 연결한다.",사용자는 메뉴 옵션 선택 시 드레싱 별도포장 여부를 선택할 수 있어야 한다.,예정,FWD-MENU-002,중,,신규 고객의 기본 주문 흐름 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%8B%A0%EA%B7%9C%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EA%B8%B0%EB%B3%B8%20%EC%A3%BC%EB%AC%B8%20%ED%9D%90%EB%A6%84%2039151ef04f0b81a8a6bcd5370f9cb200.md),옵션기능
토핑 개별 수량 조절,각 토핑의 수량 변경값이 가격 합산과 주문 생성 요청의 optionItems.quantity에 반영된다.,기능,FWD,,API-005 order_item_option.quantity와 연결한다.,사용자는 토핑 옵션 항목별로 수량을 개별 조절할 수 있어야 한다.,예정,FWD-MENU-010,중,,,옵션기능
포장봉투 추가,포장봉투 추가 여부와 금액이 장바구니 총액에 반영된다.,기능,FWD,,"Week 5 MVP(SCR-001~008, 8/1) 범위에서는 필수 구현이 아니며 9주 로드맵(7/2~9/2) 후반 확장으로 관리한다.",포장 주문 시 장바구니 단위의 부가 항목으로 포장봉투를 추가할 수 있게 한다.,예정,FWD-CART-002,하,,,추가기능
세트 구성 관리,"세트는 사이드와 음료를 각각 선택할 수 있고, 각 선택 항목의 추가 금액 또는 할인 전 금액이 주문 화면과 API에 표시될 수 있다.",관리자,LMIS,,"Week 5 MVP 범위에서는 구현하지 않고, 9주 후반(Week 7~8) 옵션기능 확장으로 관리한다. DB는 SET_SIDE/SET_DRINK 옵션그룹과 option_item.original_price/extra_price로 확장 가능하게 둔다.","관리자는 메인 메뉴, 사이드, 음료를 묶은 세트 구성을 관리할 수 있어야 한다.",예정,LMIS-MENU-006,중,,,추가기능
추가량/단백질 정보 표시,옵션 항목에 표시된 중량과 단백질 정보가 가격/영양 요약과 충돌하지 않는다.,화면,FWD,,"Week 5 MVP에서는 가격·칼로리 중심, 단백질 상세는 Week 7~8 확장",토핑 옵션 선택 시 g 단위 추가량과 단백질 등 주요 영양 정보를 표시할 수 있어야 한다.,예정,FWD-MENU-014,중,,,옵션기능
베스트/신규 메뉴 태그 표시,메뉴별 태그가 목록 카드와 상세 화면에 일관되게 표시된다.,화면,FWD,,menu_tag 또는 tag_code 확장 구조와 연결 가능하다.,"메뉴 목록과 상세 화면에서 베스트, 신규 등 메뉴 태그를 표시할 수 있어야 한다.",예정,FWD-MENU-013,중,,,추가기능
사이드메뉴 세트 할인 적용,세트 조건 충족 시 할인 금액이 주문 금액과 결제 금액에 반영된다.,기능,DEV,,05번 DB 설계 확장 후보 테이블인 promotion과 연결 가능하다(22개 정식 테이블 외).,메인 메뉴와 사이드 메뉴를 함께 구매할 때 세트 할인 금액을 적용할 수 있어야 한다.,예정,DEV-PAY-002,중,,,추가기능
판매 항목 색상/아이콘 표시,등록된 색상 또는 아이콘 정보가 메뉴 상세와 옵션 선택 화면에 표시된다.,화면,FWD,,"option_item의 icon_url, color_hex 확장 컴럼과 연결 가능하다. 단, 재료(ingredient) 자체에는 색상/아이콘 컴럼이 없으므로, 재료 기반 표시가 필요하면 option_item 칸럼을 경유해야 한다.","재료, 옵션, 카테고리 등 판매 항목에 색상 또는 아이콘 이미지를 연결해 화면에서 식별성을 높인다.",예정,FWD-UI-004,하,,,추가기능
결제 수단 설정 관리,활성화된 결제 수단만 결제 화면에 표시되고 비활성화된 수단은 선택할 수 없다.,관리자,LMIS,,"Week 5 MVP에서는 카드 가상 결제만 사용하고, 설정 관리는 Week 6(SCR-009~011) 이후 확장으로 분리한다.",관리자는 키오스크에서 노출할 결제 수단을 설정할 수 있어야 한다.,예정,LMIS-PAY-001,중,,,추가기능
멤버십 스탬프 자동 적립,"결제 과정 중 적립 확인이 1회만 노출되고, 결제완료 화면에 적립 결과가 표시된다. 결제 전/후 중복 확인이 발생하지 않는다.",기능,LMIS,,Week 5 MVP 범위에서 제외. 9주 로드맵(7/2~9/2) 후반 멤버십 확장 시 적립 로직(백엔드/DB)을 먼저 구현하고 KSD 통합을 이어서 진행한다. 시나리오 SC-006과 연결.,"고객은 결제 진행 중 멤버십 적립 여부를 1회 확인받고, 결제 완료 시 자동으로 스탬프가 적립되어야 한다.",예정,LMIS-MEMBER-001,중,,멤버십 스탬프 1회 확인 후 자동 적립 (LMIS-MEMBER-001) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%A9%A4%EB%B2%84%EC%8B%AD%20%EC%8A%A4%ED%83%AC%ED%94%84%201%ED%9A%8C%20%ED%99%95%EC%9D%B8%20%ED%9B%84%20%EC%9E%90%EB%8F%99%20%EC%A0%81%EB%A6%BD%20(LMIS-MEMBER-001)%2039151ef04f0b81ebb344fed659c7976a.md),추가기능
메뉴별 추천 드레싱 표시,메뉴마다 다른 추천 드레싱이 옵션 목록에서 추천 뱃지로 구분되어 노출된다.,화면,FWD,,"WBS-026(백엔드: 추천 드레싱 menu_option 반영, 담당 하진), API-003/004, menu_http://option.is_recommended 기준. 2026-07-04 신규 등록 — 기존엔 05번 DB설계와 WBS에만 있고 요구사항 DB엔 없던 고스트 항목이었음.",메뉴 상세/옵션 선택 화면에서 메뉴별로 다른 추천 드레싱을 menu_http://option.is_recommended 기준으로 표시한다.,예정,FWD-MENU-015,상,백엔드: 추천 드레싱 menu_option 반영 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%B0%B1%EC%97%94%EB%93%9C%20%EC%B6%94%EC%B2%9C%20%EB%93%9C%EB%A0%88%EC%8B%B1%20menu_option%20%EB%B0%98%EC%98%81%2039251ef04f0b8172a19eeecc6e6063ae.md),,기본기능
품절 상태 고객 화면 반영,관리자 품절 처리 후 키오스크 메뉴 목록·상세·옵션 화면에서 해당 항목이 SOLD OUT 표시되고 선택 불가로 반영된다.,화면,FWD,,LMIS-MENU-001(관리자 변경)과 분리. SC-003·SC-007·TC-003과 연결.,"관리자가 판매 항목 품절 상태를 변경하면 키오스크 고객 화면(메뉴 카드, 상세 재료, 옵션 항목)에 품절 뱃지·비활성 상태가 즉시 반영되어야 한다.",예정,LMIS-MENU-002,상,,"품절 판매 항목이 포함된 상황에서의 주문 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%92%88%EC%A0%88%20%ED%8C%90%EB%A7%A4%20%ED%95%AD%EB%AA%A9%EC%9D%B4%20%ED%8F%AC%ED%95%A8%EB%90%9C%20%EC%83%81%ED%99%A9%EC%97%90%EC%84%9C%EC%9D%98%20%EC%A3%BC%EB%AC%B8%2039151ef04f0b8138b9cbebbf1b185ce7.md), 관리자의 판매 항목 품절 처리 (LMIS-MENU-001) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%ED%8C%90%EB%A7%A4%20%ED%95%AD%EB%AA%A9%20%ED%92%88%EC%A0%88%20%EC%B2%98%EB%A6%AC%20(LMIS-MENU-001)%2039151ef04f0b81108c44f3390d12c241.md)",옵션기능
키오스크 시작 화면 및 빠른 주문 UX,"홈 화면(SCR-001)에서 주문 시작 버튼이 명확하고, 재방문 고객이 추천 조합 기본값으로 화면 전환 5회 이내에 결제까지 완료할 수 있다.",화면,FWD,,"SCR-001 홈 화면, SC-002 빠른 주문과 연결.","ASAK 키오스크 시작 화면에서 브랜드 안내와 주문 시작 CTA를 제공하고, 재방문 고객은 불필요한 단계 없이 메뉴 선택→장바구니→결제로 빠르게 이동할 수 있는 UI 흐름을 제공한다.",예정,FWD-UI-002,상,,재방문 고객의 빠른 주문(속도 중심) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9E%AC%EB%B0%A9%EB%AC%B8%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EB%B9%A0%EB%A5%B8%20%EC%A3%BC%EB%AC%B8(%EC%86%8D%EB%8F%84%20%EC%A4%91%EC%8B%AC)%2039151ef04f0b8161aa65f28c31b0c440.md),기본기능
영수증 출력 처리,결제 완료 화면에서 영수증 출력 선택 시 모의 프린터가 동작한다.,장치,RTOS,,"SC-015, API-019",고객이 영수증 출력 여부를 선택하면 주문/결제 내역을 기반으로 영수증을 출력한다.,예정,RTOS-DEVICE-001,중,장치: 영수증 출력 모의 구현 (RTOS-DEVICE-001) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/07%20WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%ED%98%84%ED%99%A9/WBS%20%EA%B0%9C%EB%B0%9C%20%EC%A7%84%ED%96%89%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9E%A5%EC%B9%98%20%EC%98%81%EC%88%98%EC%A6%9D%20%EC%B6%9C%EB%A0%A5%20%EB%AA%A8%EC%9D%98%20%EA%B5%AC%ED%98%84%20(RTOS-DEVICE-001)%2039451ef04f0b81f0bb08d595a005de84.md),영수증 출력 여부 선택 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%98%81%EC%88%98%EC%A6%9D%20%EC%B6%9C%EB%A0%A5%20%EC%97%AC%EB%B6%80%20%EC%84%A0%ED%83%9D%2039151ef04f0b81a08f33d8258c24b8d0.md),추가기능
미입력 시 자동 초기화,일정 시간 입력 없으면 초기 화면으로 복귀하고 장바구니가 초기화된다.,비기능,FWD,,중복 제외 (2026-07-06): FWD-SYS-001 정본은 '일정 시간 미입력 시 초기화면 자동 복귀'. SC-012·WBS 링크는 정본으로 이전.,고객이 주문 중 자리를 비우면 타임아웃 후 자동으로 초기 화면으로 복귀한다.,제외,FWD-SYS-001,중,,,추가기능
알레르기/비건 태그 확인,메뉴/옵션 화면에서 알레르기·비건 태그가 표시된다.,화면,FWD,,SC-010. FWD-MENU-008과 병행.,고객이 알레르기 유발 재료·비건 여부를 태그로 확인하고 안전하게 주문할 수 있어야 한다.,예정,FWD-MENU-004,중,,알레르기/비건 태그 확인 후 주문 (FWD-MENU-008) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%95%8C%EB%A0%88%EB%A5%B4%EA%B8%B0%20%EB%B9%84%EA%B1%B4%20%ED%83%9C%EA%B7%B8%20%ED%99%95%EC%9D%B8%20%ED%9B%84%20%EC%A3%BC%EB%AC%B8%20(FWD-MENU-008)%2039151ef04f0b814bbbbdc963ec6b8096.md),옵션기능
QR/바코드 스캔 인식,QR/바코드 스캔 후 유효 쿠폰이면 할인이 자동 적용된다.,장치,RTOS,,ID 재할당 (2026-07-06): RTOS-DEVICE-002는 Hub 정본(영수증 출력 요청)과 충돌. QR 스캔은 RTOS-DEVICE-006.,결제 단계에서 모바일 쿠폰/멤버십 바코드를 스캔해 할인을 적용한다.,예정,RTOS-DEVICE-006,중,,QR/바코드로 쿠폰 인식 후 결제 (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/QR%20%EB%B0%94%EC%BD%94%EB%93%9C%EB%A1%9C%20%EC%BF%A0%ED%8F%B0%20%EC%9D%B8%EC%8B%9D%20%ED%9B%84%20%EA%B2%B0%EC%A0%9C%2039151ef04f0b81f5892ce9384de4f834.md),추가기능
장바구니 수량 변경/삭제,"장바구니에서 수량 변경·삭제 시 총액이 즉시 재계산되며, 주문 확인 화면의 데이터가 즉시 갱신된다.",기능,FWD,,"SC-009. FWD-CART-003과 동일 기능, 텍스트 ID 정합용.",사용자는 장바구니에서 담은 메뉴 수량을 변경하거나 항목을 삭제할 수 있어야 한다.,예정,FWD-CART-002,상,,장바구니 수정(수량변경/삭제) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%EC%88%98%EC%A0%95(%EC%88%98%EB%9F%89%EB%B3%80%EA%B2%BD%20%EC%82%AD%EC%A0%9C)%2039151ef04f0b81ab9a44d01540d67a95.md),기본기능
접근성 UI 옵션,글자크기 확대·고대비 옵션 선택 시 전체 화면에 일관 적용된다.,화면,FWD,,ID 재할당 (2026-07-06): FWD-UI-001 정본(접근성 UI 제공)과 충돌. 접근성 설정 옵션은 FWD-UI-004.,저시력 고객을 위해 글자크기 확대·고대비·큰 터치 영역 등 접근성 옵션을 제공한다.,예정,FWD-UI-004,중,,접근성 옵션으로 저시력 고객 주문 (FWD-UI-001) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%A0%91%EA%B7%BC%EC%84%B1%20%EC%98%B5%EC%85%98%EC%9C%BC%EB%A1%9C%20%EC%A0%80%EC%8B%9C%EB%A0%A5%20%EA%B3%A0%EA%B0%9D%20%EC%A3%BC%EB%AC%B8%20(FWD-UI-001)%2039151ef04f0b8110a97ed0e2593fe40b.md),추가기능
일별 매출/판매량 조회,선택 기간의 일별 매출·메뉴별 판매량이 관리자 화면에 표시된다.,관리자,LMIS,,"중복 아카이브. 추적: SC-018, SCR-019, 정본 LMIS-ORDER-005",관리자는 기간을 선택해 일별 매출과 메뉴별 판매량을 조회할 수 있어야 한다.,제외,ARCHIVE-LMIS-ORDER-005,중,,관리자의 일별 매출 조회 (LMIS-ORDER-005) (ASAK%20%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%ED%82%A4%EC%98%A4%EC%8A%A4%ED%81%AC%20%ED%92%80%EC%8A%A4%ED%83%9D%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%EC%9D%BC%EB%B3%84%20%EB%A7%A4%EC%B6%9C%20%EC%A1%B0%ED%9A%8C%20(LMIS-ORDER-005)%2039151ef04f0b8197a3eef6305fe345c6.md),추가기능
,,,,,,,,,,,,