작업명,↔ 요구사항,관련 산출물,구분,단계,담당자,비고,상태,시작일,우선순위,작업 ID,종료일,진척률
Spring Boot 프로젝트 생성 및 DB 연결,,backend 소스코드,백엔드,LMIS,하진,"application 설정, MySQL 연결",예정,,상,BE-001,,0
모의 프린터/RTOS 콘솔 구현,,rtos-simulator,장치,,,Printer Task 로그 출력,예정,,중,DEV-002,,0
최종 시연 준비,,시연 영상 또는 시연 시나리오,발표,,전체,시연 데이터 미리 준비,예정,,상,PPT-002,,0
DB: 샘플 데이터 작성 보조,,"sample-data.sql, ASAK 가상 메뉴/옵션/재료 샘플 데이터",DB,LMIS,,"기존 보조 작업을 WBS 체계로 편입. schema.sql 제약조건은 WBS-023에서 담당하고, 이 작업은 WBS-024 샘플 데이터 보강용으로 관리한다.",예정,,중,WBS-033,,0
README 작성,,http://README.md,문서,,,"실행 방법, 기술 스택, 기능 설명",예정,,중,DOC-001,,0
React 프로젝트 생성 및 라우터 구성,,frontend 소스코드,프론트엔드,FWD,"유진, 민준",kiosk/admin/device-test 라우트 구성,예정,,상,FE-001,,0
테이블 정의서 작성,,테이블 정의서,DB,LMIS,,"PK/FK, 상태값 포함",예정,,상,DB-002,,0
요구사항 정의서 작성,,요구사항 정의서,문서,,,기능/비기능 요구사항 정리,예정,,상,WBS-002,,0
프론트: 옵션선택 화면 구현,,"SCR 메뉴 상세/옵션 선택, API-003, API-004",프론트엔드,FWD,"유진, 민준","옵션그룹, 추천 드레싱, 기본재료 제외, 세트 사이드/음료 선택, 품절 표시가 동작하면 완료",예정,2026년 7월 6일,상,WBS-008,2026년 7월 9일,
백엔드: 판매 항목 품절 상태 변경 API,,"API-009, API-010, 판매 항목 품절 기준",백엔드,LMIS,"하진, 나연",메뉴/재료/옵션항목 품절 변경과 CORE/BASE/DEFAULT 표시 기준이 API에 반영되면 완료,예정,2026년 7월 10일,상,WBS-013,2026년 7월 15일,
기술스택 확정 · 역할분담,,"01 팀/역할/일정, 기술스택 문서, Git 전략",협업,PLAN,"하진, 나연","역할/기술스택/브랜치 전략/Week 5 MVP(SCR-001~008, 8/1) 범위가 팀원에게 공유되면 완료",완료,2026년 7월 3일,상,WBS-003,2026년 7월 3일,
Git 전략 · 백로그 티켓화,,"Git 전략, 07 WBS, GitHub Projects",협업,DEV,"하진, 나연",브랜치/커밋/PR 규칙과 WBS 작업 단위가 팀 내 합의되면 완료,예정,2026년 7월 3일,중,WBS-006,2026년 7월 4일,
와이어프레임 · 컴포넌트 구조,,"04 화면 설계, Figma 와이어프레임, 컴포넌트 목록",디자인,FWD,"유진, 나연","홈~주문완료, 관리자 주문 관리까지 핵심 프레임과 컴포넌트 구조가 정리되면 완료",예정,2026년 7월 3일,상,WBS-005,2026년 7월 6일,
ERD · API 명세서 작성,,"05 DB 설계, 06 API 명세",DB,PLAN,하진,"3NF 테이블 22개와 각 컬럼 제약조건, API 공통 응답 형식이 문서에 반영되면 완료",예정,2026년 7월 3일,상,WBS-004,2026년 7월 5일,
주간 데모 & 회고,,"주간 데모 기록, 회고 메모, 다음 주 액션 아이템",협업,,전원,매주 구현된 화면/API를 시연하고 막힌 점과 다음 주 작업을 WBS에 반영하면 완료,예정,2026년 7월 10일,중,WBS-014,2026년 8월 21일,
시나리오 기반 QA,,"03 시나리오, 09 테스트 시나리오, 버그 DB",테스트,,"나연, 민준",핵심 시나리오별 실제 수행 결과와 버그가 기록되면 완료,예정,2026년 7월 11일,상,WBS-017,2026년 7월 17일,
백엔드: 메뉴/옵션 API,,"API-001~API-004, Controller/Service/DTO",백엔드,LMIS,하진,카테고리/메뉴/메뉴상세/옵션 조회 API가 공통 응답 형식으로 동작하면 완료,예정,2026년 7월 5일,상,WBS-011,2026년 7월 8일,
화면 흐름도 · 기능 정의서,,"02 요구사항, 03 시나리오, 04 화면 설계",문서,PLAN,"나연, 유진",고객 주문 흐름과 관리자 흐름이 요구사항/시나리오/화면으로 연결되면 완료,예정,2026년 7월 3일,상,WBS-002,2026년 7월 4일,
프론트-백엔드 연동 테스트,,"통합 테스트 결과, API 연동 체크리스트",테스트,KSD,"하진, 유진, 나연",고객 주문 흐름과 관리자 주문 확인 흐름이 프론트-백엔드로 1회 이상 성공하면 완료,예정,2026년 7월 10일,상,WBS-015,2026년 7월 13일,
성능 · UX 개선,,"성능/UX 개선 목록, 반영 내역",테스트,,"유진, 나연","주문 흐름에서 느린 화면, 헷갈리는 버튼, 반복 입력을 개선하면 완료",예정,2026년 7월 17일,중,WBS-018,2026년 8월 7일,
키오스크 예외처리(결제/터치/타임아웃),,"SCR-012, SCR-013, 09 테스트/오류 관리",장치,,"하진, 민준","결제 실패, 타임아웃, 잘못된 요청, 품절 주문 등 예외 케이스가 화면/API에서 안내되면 완료",예정,2026년 7월 11일,중,WBS-016,2026년 7월 16일,
백엔드: 주문 생성 API,,"API-005, orders/order_item/order_item_option/item_exclusion 저장 로직",백엔드,LMIS,하진,"주문 생성 시 주문헤더, 주문메뉴, 선택옵션, 제외재료가 트랜잭션으로 저장되면 완료",예정,2026년 7월 7일,상,WBS-012,2026년 7월 10일,
프론트: 메뉴선택 화면 구현,,"SCR 메뉴 선택, API-001, API-002",프론트엔드,FWD,유진,"카테고리 탭, 메뉴 카드, 품절/태그/가격 표시가 API 응답 기준으로 동작하면 완료",예정,2026년 7월 5일,상,WBS-007,2026년 7월 8일,
프론트: 결제 화면 구현,,"SCR 결제, SCR 주문완료(SCR-008), API-006",프론트엔드,FWD,"나연, 민준","결제수단 표시, 가상 결제 요정, 성공/실패 버분 화면이 동작하면 완료. (2026-07-04 재수정) SCR-012 결제 실패/재시도는 WBS-027이 별도로 전담하고 있으므로 중복 링크 제거. API-013(활성 결제수단 조회)은 WBS-030(확장)에서 다룰.",예정,2026년 7월 8일,상,WBS-010,2026년 7월 11일,
배포 · 발표자료 · 시연 시나리오,,"배포 URL, 발표자료, 시연 시나리오",발표,,"나연, 하진","최종 시연 가능한 배포본과 발표자료, 역할별 발표 파트가 준비되면 완료",예정,2026년 8월 17일,상,WBS-019,2026년 8월 27일,
최종 리허설,,"최종 리허설 체크리스트, 발표 Q&A 메모",발표,,전원,시연 흐름이 끊기지 않고 팀원별 발표/질의응답 대응이 가능하면 완료,예정,2026년 8월 27일,상,WBS-020,2026년 8월 28일,
메뉴 구조 · 옵션 트리 설계,,"05 DB 설계, 06 API 명세, 옵션 트리 초안",DB,PLAN,"하진, 나연",메뉴-재료-옵션그룹-옵션항목-menu_option 관계와 추천 드레싱/세트 옵션 구조 확정 시 완료,예정,2026년 7월 3일,상,WBS-001,2026년 7월 4일,
프론트: 장바구니 화면 구현,,"SCR 장바구니, API-005",프론트엔드,FWD,"민준, 유진","수량 변경/삭제, 옵션 요약이 가능하면 완료. 2026-07-04 수정: API-016(장바구니 검증)은 06번 API설계상 8주 확장 API로 Day10 범위가 아니므로 제거함. Day10에서는 주문 생성(API-005) 응답으로 클라이언트 검증만 수행하고, 서버 장바구니 검증(API-016)은 별도 확장 WBS로 분리.",예정,2026년 7월 7일,상,WBS-009,2026년 7월 10일,
프론트: 타임아웃 정책/카운트다운 기준 확정,일정 시간 미입력 시 초기화면 자동 복귀 (02%20%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EB%AA%A9%EB%A1%9D%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9D%BC%EC%A0%95%20%EC%8B%9C%EA%B0%84%20%EB%AF%B8%EC%9E%85%EB%A0%A5%20%EC%8B%9C%20%EC%B4%88%EA%B8%B0%ED%99%94%EB%A9%B4%20%EC%9E%90%EB%8F%99%20%EB%B3%B5%EA%B7%80.md),"FWD-SYS-001, SCR-013, 타임아웃 정책",프론트엔드,FWD,"민준, 유진","WBS-028과 중복되던 구현 범위는 WBS-028로 이관. 이 작업은 미입력 시간, 카운트다운 노출 시점, 유지/초기화 기준 확정까지로 제한한다.",예정,2026년 7월 14일,중,WBS-021,2026년 7월 17일,0
프론트: 접근성 UI 적용(글자크기/대비),,"SCR-014, 접근성 UI 초안",프론트엔드,FWD,"민준, 나연",글자 크기/대비 개선이 주요 키오스크 화면에 적용되면 완료,예정,2026년 7월 21일,중,WBS-022,2026년 8월 7일,
프론트: 타임아웃 안내/자동 초기화 구현,일정 시간 미입력 시 초기화면 자동 복귀 (02%20%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EB%AA%A9%EB%A1%9D%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9D%BC%EC%A0%95%20%EC%8B%9C%EA%B0%84%20%EB%AF%B8%EC%9E%85%EB%A0%A5%20%EC%8B%9C%20%EC%B4%88%EA%B8%B0%ED%99%94%EB%A9%B4%20%EC%9E%90%EB%8F%99%20%EB%B3%B5%EA%B7%80.md),"SCR-013, 타임아웃 컴포넌트, 장바구니 초기화 동작",프론트엔드,FWD,,"WBS-021에서 확정한 정책 기준으로 SCR-013 화면을 구현한다. 별도 API 없이 프론트 상태로 카운트다운, 홈 이동, 장바구니 초기화를 처리한다.",예정,2026년 7월 14일,중,WBS-028,2026년 7월 17일,0
프론트: 결제 실패/재시도 화면 구현,,"SCR-012, API-006 실패 응답 처리",프론트엔드,FWD,", ",결제 실패/금액 불일치/재시도 흐름이 화면에서 확인되면 완료,예정,2026년 7월 9일,중,WBS-027,2026년 7월 12일,0
프론트: 접근성 설정 화면 초안,,"SCR-014, API-017",프론트엔드,FWD,,글자크기/고대비 옵션 화면 초안이 준비되면 완료. Day 10 필수는 아님,예정,2026년 7월 21일,하,WBS-032,2026년 8월 7일,0
DB: ASAK 샘플 메뉴/재료/옵션 데이터 구성,,"seed.sql, ASAK 샘플 메뉴 데이터, 이미지/아이콘 목록",DB,DEV,"하진, 나연",가상 메뉴/재료/옵션/추천드레싱/세트 사이드·음료가 시연 가능한 수준으로 입력되면 완료,예정,2026년 7월 5일,상,WBS-024,2026년 7월 9일,0
관리자: 결제수단 설정 화면/API 설계,,"SCR-018, API-013, API-014, payment_method_config",백엔드,LMIS,나연,결제수단 노출/정렬 설정 흐름이 화면/API/DB 기준으로 정의되면 완료,예정,2026년 7월 27일,중,WBS-030,2026년 8월 7일,0
DB: schema.sql 제약조건 반영,,"05 DB 설계, schema.sql, ERD",DB,DEV,하진,각 테이블별 제약조건이 실제 SQL에 반영되고 FK 생성 순서가 맞으면 완료,예정,2026년 7월 4일,상,WBS-023,2026년 7월 7일,0
백엔드: 추천 드레싱 menu_option 반영,메뉴별 추천 드레싱 표시 (02%20%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EB%AA%A9%EB%A1%9D%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%A9%94%EB%89%B4%EB%B3%84%20%EC%B6%94%EC%B2%9C%20%EB%93%9C%EB%A0%88%EC%8B%B1%20%ED%91%9C%EC%8B%9C.md),"API-003, API-004, menu_option 조회 로직",백엔드,LMIS,하진,메뉴별 추천/기본 드레싱이 menu_option 기준으로 내려가면 완료. 요구사항 FWD-MENU-015에 연결 (2026-07-04 신규 등록해서 연결).,예정,2026년 7월 6일,상,WBS-026,2026년 7월 9일,0
백엔드: 장바구니 검증 API,,"API-016, CartValidate DTO, 검증 서비스",백엔드,LMIS,하진,"주문 전 품절/가격/옵션 유효성 검증 결과와 totalPrice를 반환하여 완료. [2026-07-04 확인필요] 이 작업 일정(07-08~07-11, Day10 기간)이 06번 API설계상 API-016을 '8주 확장 API(주문 안정화 단계)'로 문륹 것과 상반되지 안는지 확인 필요. Day10에 사용한다면 API설계상 분량(확장→필수) 수정이 필요하고, Day10에 안쓴다면 이 작업을 3주차 이후로 밀어야 합.",예정,2026년 7월 8일,상,WBS-025,2026년 7월 11일,0
테스트: 요구사항-시나리오-화면-API 추적성 점검,,02~09 문서 전체,테스트,TEST,전원,"기본기능 요구사항마다 관련 시나리오, 화면, API 또는 WBS가 최소 1개 이상 연결되면 완료",예정,2026년 7월 10일,상,WBS-031,2026년 7월 17일,0
관리자: 메뉴 관리 화면/API 설계,,"SCR-016, SCR-017, API-011, API-012",백엔드,LMIS,"나연, 하진",메뉴 목록/등록/수정의 화면 입력값과 API/DB 저장 기준이 맞으면 완료,예정,2026년 7월 20일,중,WBS-029,2026년 7월 31일,0
장치: 영수증 출력 모의 구현 (RTOS-DEVICE-001),영수증 출력 처리 (02%20%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EB%AA%A9%EB%A1%9D%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%98%81%EC%88%98%EC%A6%9D%20%EC%B6%9C%EB%A0%A5%20%EC%B2%98%EB%A6%AC.md),"RTOS-DEVICE-001, SC-015, POST /api/orders/{orderId}/receipt-print, 주문완료 화면",장치,RTOS,,실제 프린터 연동 없이 주문/결제/상품 내역을 영수증 형식으로 화면 또는 콘솔에 모의 출력하는 것으로 완료. 11번 최종제출 시연 출이량을 위해 2026-07-05 신규 등록 (최종 제출은 8주차 이전에 받아야 함).,예정,2026년 8월 12일,중,WBS-034,2026년 8월 15일,
프론트: 관리자 주문 관리/상세 화면 구현,"관리자 주문 목록 조회 (02%20%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EB%AA%A9%EB%A1%9D%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EB%AA%A9%EB%A1%9D%20%EC%A1%B0%ED%9A%8C.md), 관리자 주문 상세 조회 (02%20%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EB%AA%A9%EB%A1%9D%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EC%83%81%EC%84%B8%20%EC%A1%B0%ED%9A%8C.md), 관리자 주문 상태 변경 (02%20%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EB%AA%A9%EB%A1%9D%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EC%83%81%ED%83%9C%20%EB%B3%80%EA%B2%BD.md)","SCR-009 관리자 주문 관리, SCR-010 관리자 주문 상세",프론트엔드,KSD,,관리자 화면에서 주문 목록 확인→상세 이동→상태변경까지 동작하면 완료. 2026-07-05 신규 등록.,예정,2026년 7월 10일,상,WBS-036,2026년 7월 12일,
백엔드: 관리자 주문 목록/상태변경 API (API-007/008),"관리자 주문 목록 조회 (02%20%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EB%AA%A9%EB%A1%9D%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EB%AA%A9%EB%A1%9D%20%EC%A1%B0%ED%9A%8C.md), 관리자 주문 상세 조회 (02%20%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EB%AA%A9%EB%A1%9D%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EC%83%81%EC%84%B8%20%EC%A1%B0%ED%9A%8C.md), 관리자 주문 상태 변경 (02%20%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EB%AA%A9%EB%A1%9D%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EC%83%81%ED%83%9C%20%EB%B3%80%EA%B2%BD.md)","API-007 GET /api/admin/orders, API-008 PATCH /api/admin/orders/{orderId}/status",백엔드,LMIS,"하진, 나연","주문 목록/상태필타와 상태 바꿀(RECEIVED→PREPARING→COMPLETED)이 동작하면 완료. SCR-009/010, LMIS-ORDER-001~004 연결. 2026-07-05 신규 등록 — 기존에 이 작업이 WBS에 없었음(01번 Day6 일정에는 있었으나 WBS DB엔 누랬).",예정,2026년 7월 9일,상,WBS-035,2026년 7월 11일,