테스트 ID,테스트명,관련 API,관련 화면,구분,기대 결과,단계,담당자,비고,상태,수행 절차,실제 결과,오류 발생,우선순위,전제조건,테스트 데이터,↔ API,↔ 시나리오
TC-001,신규 고객의 기본 주문 흐름 성공,"GET /api/menus, POST /api/orders","메뉴선택, 옵션선택, 결제",통합,결제 완료 후 주문번호가 화면에 표시됨,KSD,,SC-001 연결,예정,1) 키오스크 초기화면 진입 2) ASAK 대표 메뉴 1개 선택 3) 추천조합 기본값 확인 후 토핑 1개 추가 4) 장바구니 담기 5) 결제수단 선택 후 결제,,N,상,"키오스크 정상 구동, 모든 메뉴 판매중",ASAK 대표 메뉴 1개 + 토핑 1개,,
TC-005,스탬프 적립 확인이 결제 전후로 중복되지 않는지 검증,"POST /payments, POST /membership/stamps",결제,통합,결제 과정 중 1회만 확인되고 결제완료 화면에 적립결과가 표시됨,KSD,,"SC-006 연결, LMIS-MEMBER-001. 멤버십 화면/API가 추가된 뒤 실제 테스트 진행",보류,1) 멤버십 보유 고객으로 결제 진행 2) 결제 과정 중 적립 확인창 1회만 뜨는지 확인 3) 결제 완료 후 적립 결과 표시 확인,,N,상,테스트용 멤버십 계정 존재,멤버십 가입 고객 1명,,멤버십 스탬프 1회 확인 후 자동 적립 (LMIS-MEMBER-001) (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%A9%A4%EB%B2%84%EC%8B%AD%20%EC%8A%A4%ED%83%AC%ED%94%84%201%ED%9A%8C%20%ED%99%95%EC%9D%B8%20%ED%9B%84%20%EC%9E%90%EB%8F%99%20%EC%A0%81%EB%A6%BD%20(LMIS-MEMBER-001)%2039151ef04f0b81ebb344fed659c7976a.md)
TC-006,관리자 품절 처리가 관련 메뉴 전체에 즉시 반영되는지 검증,API-009 PATCH /api/admin/sold-out-items,"관리자 판매 항목 품절 관리, 메뉴 상세 / 옵션 선택",관리자,품절 처리 즉시 해당 판매 항목을 사용하는 모든 메뉴/옵션 표시가 함께 변경됨,LMIS,,"SC-007 연결, LMIS-MENU-002",예정,1) 관리자 화면에서 특정 판매 항목 품절 토글 ON 2) 키오스크에서 해당 항목이 포함된 메뉴와 옵션 목록 확인,,N,상,동일 판매 항목이 2개 이상 메뉴 또는 옵션에 공통으로 존재,여러 메뉴에 공통으로 들어간 판매 항목 1개,판매 항목 품절 상태 변경 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%8C%90%EB%A7%A4%20%ED%95%AD%EB%AA%A9%20%ED%92%88%EC%A0%88%20%EC%83%81%ED%83%9C%20%EB%B3%80%EA%B2%BD%2039151ef04f0b81809b72c1daaac09498.md),관리자의 판매 항목 품절 처리 (LMIS-MENU-001) (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%ED%8C%90%EB%A7%A4%20%ED%95%AD%EB%AA%A9%20%ED%92%88%EC%A0%88%20%EC%B2%98%EB%A6%AC%20(LMIS-MENU-001)%2039151ef04f0b81108c44f3390d12c241.md)
TC-004,결제 실패 시 원인 안내 및 장바구니 유지 확인,POST /payments,결제,API,실패 원인이 화면에 명확히 표시되고 장바구니 내용은 유지됨,KSD,,"SC-005 연결, FWD-PAY-002, KSD-PAY-001",예정,1) 장바구니에 메뉴 담기 2) 결제 진행 3) 결제 실패 응답 강제 발생(테스트용) 4) 화면 안내 문구 확인 5) 장바구니 유지 여부 확인,,N,상,결제 실패를 의도적으로 유발할 수 있는 테스트 모드 필요,실패 응답 코드 강제 주입,,결제 실패 흐름 (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B2%B0%EC%A0%9C%20%EC%8B%A4%ED%8C%A8%20%ED%9D%90%EB%A6%84%2039151ef04f0b8136afedfbe033869bc0.md)
TC-002,화면 전환 5회 이내 주문 완료 흐름 검증,"GET /api/menus, POST /api/orders","메뉴선택, 장바구니, 결제",화면,메뉴선택→결제완료까지 화면 전환 5회 이하 (메뉴선택→옵션선택→장바구니→주문확인→결제→완료),FWD,,"SC-002 연결, FWD-UI-002. 2026-07-04 수정: 04번 화면설계 실제 흐름이 5단계(메뉴선택→옵션선택→장바구니→주문확인→결제→완료)로 확정되어 기존 '4회 이하' 기준을 5회로 조정함",예정,1) 메뉴 선택 2) 추천조합 기본값 그대로 장바구니 담기 3) 결제하기 탭 4) 결제수단 선택/결제 완료까지 탭 수 측정,,N,상,키오스크 정상 구동,임의 메뉴 1개,,재방문 고객의 빠른 주문(속도 중심) (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9E%AC%EB%B0%A9%EB%AC%B8%20%EA%B3%A0%EA%B0%9D%EC%9D%98%20%EB%B9%A0%EB%A5%B8%20%EC%A3%BC%EB%AC%B8(%EC%86%8D%EB%8F%84%20%EC%A4%91%EC%8B%AC)%2039151ef04f0b8161aa65f28c31b0c440.md)
TC-003,품절 판매 항목이 정상적으로 비활성화되는지 확인,API-004 GET /api/menus/{id}/options,메뉴 상세 / 옵션 선택,화면,품절 항목이 회색+SOLD OUT 표시되고 선택 불가,FWD,,"SC-003 연결, LMIS-MENU-002",예정,1) 관리자에서 특정 판매 항목 품절 처리 2) 키오스크에서 해당 항목이 포함된 메뉴 진입 3) 메뉴 상세/옵션 목록 확인 4) 해당 항목 선택 시도,,N,상,특정 판매 항목이 품절 상태로 사전 설정됨,품절 처리된 판매 항목 1개(예: 닭가슴살 또는 연어 토핑),메뉴 옵션 조회 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%A9%94%EB%89%B4%20%EC%98%B5%EC%85%98%20%EC%A1%B0%ED%9A%8C%2039151ef04f0b816583b6f7d373600582.md),품절 판매 항목이 포함된 상황에서의 주문 (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%92%88%EC%A0%88%20%ED%8C%90%EB%A7%A4%20%ED%95%AD%EB%AA%A9%EC%9D%B4%20%ED%8F%AC%ED%95%A8%EB%90%9C%20%EC%83%81%ED%99%A9%EC%97%90%EC%84%9C%EC%9D%98%20%EC%A3%BC%EB%AC%B8%2039151ef04f0b8138b9cbebbf1b185ce7.md)
TC-010,관리자 메뉴 관리 목록/품절 상태 검증,"API-010, API-011, API-009",SCR-016,관리자,메뉴/재료/옵션 상태가 화면에 표시되고 품절 변경 결과가 키오스크 메뉴/옵션 화면에 반영된다.,LMIS,,옵션기능 범위,예정,1. 관리자 메뉴 관리 화면을 연다. 2. 메뉴 목록과 판매 상태를 확인한다. 3. 재료 또는 메뉴 품절 상태를 변경한다.,,N,중,메뉴/재료/옵션 샘플 데이터가 등록되어 있음,"핵심재료 품절, 일반재료 품절, 옵션재료 품절","관리자 판매 항목 목록 조회 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%ED%8C%90%EB%A7%A4%20%ED%95%AD%EB%AA%A9%20%EB%AA%A9%EB%A1%9D%20%EC%A1%B0%ED%9A%8C%2039251ef04f0b8184853ec576e1b9ba99.md), 관리자 메뉴 목록 조회 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EB%A9%94%EB%89%B4%20%EB%AA%A9%EB%A1%9D%20%EC%A1%B0%ED%9A%8C%2039251ef04f0b81e4bec7e4146890bbb7.md), 판매 항목 품절 상태 변경 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%8C%90%EB%A7%A4%20%ED%95%AD%EB%AA%A9%20%ED%92%88%EC%A0%88%20%EC%83%81%ED%83%9C%20%EB%B3%80%EA%B2%BD%2039151ef04f0b81809b72c1daaac09498.md)",
TC-008,접근성 설정 적용 검증,API-017,SCR-014,화면,선택한 접근성 설정이 주요 화면의 텍스트와 버튼 스타일에 일관되게 반영된다.,FWD,,Week 7~8 확장 기능,예정,1. 접근성 설정 화면을 연다. 2. 글자 크기 또는 대비 옵션을 변경한다. 3. 메뉴/옵션/결제 화면으로 이동해 적용 여부를 확인한다.,,N,중,접근성 설정 화면 진입 가능,"fontScale=LARGE, contrast=HIGH",접근성 설정 조회 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%A0%91%EA%B7%BC%EC%84%B1%20%EC%84%A4%EC%A0%95%20%EC%A1%B0%ED%9A%8C%2039251ef04f0b81eca9c1e4cbd4909f80.md),
TC-007,타임아웃 안내 후 자동 초기화 검증,없음,SCR-013,화면,타임아웃 안내가 표시되고 카운트다운 종료 후 장바구니가 초기화되며 홈 화면으로 이동한다.,FWD,,WBS-021 정책 기준과 WBS-028 구현 결과를 함께 확인,예정,1. 장바구니에 메뉴를 담는다. 2. 설정된 미입력 시간까지 기다린다. 3. 타임아웃 안내와 카운트다운을 확인한다. 4. 시간이 종료될 때 홈으로 이동하는지 확인한다.,,N,중,장바구니에 메뉴가 담겨 있고 일정 시간 입력이 없는 상태,"주문 중단 상태, 장바구니 1건",,일정시간 미입력 시 자동 초기화 (FWD-SYS-001) (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%9D%BC%EC%A0%95%EC%8B%9C%EA%B0%84%20%EB%AF%B8%EC%9E%85%EB%A0%A5%20%EC%8B%9C%20%EC%9E%90%EB%8F%99%20%EC%B4%88%EA%B8%B0%ED%99%94%20(FWD-SYS-001)%2039151ef04f0b816dac73e50493047aac.md)
TC-011,관리자 메뉴 등록/수정 검증,API-012,SCR-017,관리자,메뉴 기본정보와 연결 데이터가 저장되고 API-003/API-004 응답에 반영된다.,LMIS,,Week 6(SCR-009~011) 이후 확장 기능,예정,"1. 메뉴 등록/수정 화면을 연다. 2. 메뉴명, 가격, 태그, 기본재료, 추천드레싱을 입력한다. 3. 저장 후 키오스크 메뉴 상세에서 확인한다.",,N,중,관리자 권한으로 로그인되어 있음,"신규 메뉴 1건, 추천드레싱 option_item 1건",관리자 메뉴 등록/수정 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EB%A9%94%EB%89%B4%20%EB%93%B1%EB%A1%9D%20%EC%88%98%EC%A0%95%2039251ef04f0b81c38e86e9521d37502a.md),
TC-009,관리자 로그인 검증,관리자 로그인 API(후반 확장),SCR-015,관리자,"정상 계정은 관리자 화면으로 이동하고, 잘못된 계정은 오류 메시지를 표시한다.",LMIS,,role_id 기반 권한 확인 포함,예정,1. 관리자 로그인 화면에 진입한다. 2. 정상 계정으로 로그인한다. 3. 잘못된 계정으로도 시도한다.,,N,중,관리자 계정과 role_id가 준비되어 있음,"admin 계정, invalid 계정",,
TC-013,관리자 매출 요약 조회 검증,API-015,SCR-019,관리자,선택 날짜의 결제 완료 주문 기준으로 매출 합계와 주문 수가 표시된다.,LMIS,,Week 7~8 확장 기능,예정,1. 관리자 매출 요약 화면을 연다. 2. 날짜 조건을 선택한다. 3. 매출 합계와 주문 수를 확인한다.,,N,하,결제 완료 주문 데이터가 존재함,결제 완료 주문 2건 이상,관리자 일별 매출 조회 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%9D%BC%EB%B3%84%20%EB%A7%A4%EC%B6%9C%20%EC%A1%B0%ED%9A%8C%2039251ef04f0b8155ad12d44bbccf9dcb.md),관리자의 일별 매출 조회 (LMIS-ORDER-005) (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%EC%9D%BC%EB%B3%84%20%EB%A7%A4%EC%B6%9C%20%EC%A1%B0%ED%9A%8C%20(LMIS-ORDER-005)%2039151ef04f0b8197a3eef6305fe345c6.md)
TC-012,관리자 결제수단 설정 검증,"API-013, API-014",SCR-018,관리자,활성 결제수단만 고객 결제 화면에 표시되고 정렬 순서가 유지된다.,LMIS,,결제수단은 다중 확장 가능하도록 코드 테이블 유지,예정,1. 결제수단 설정 화면을 연다. 2. 노출 여부와 정렬 순서를 변경한다. 3. 고객 결제 화면에서 노출 결과를 확인한다.,,N,중,결제수단 코드가 등록되어 있음,"CARD, SIMPLE_PAY","활성 결제수단 조회 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%ED%99%9C%EC%84%B1%20%EA%B2%B0%EC%A0%9C%EC%88%98%EB%8B%A8%20%EC%A1%B0%ED%9A%8C%2039251ef04f0b8136b6d9d97eeee6cd27.md), 관리자 결제수단 설정 변경 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EA%B2%B0%EC%A0%9C%EC%88%98%EB%8B%A8%20%EC%84%A4%EC%A0%95%20%EB%B3%80%EA%B2%BD%2039251ef04f0b8159a4c3dedb4949e4e4.md)",
TC-014,관리자 주문 목록 조회 및 상태 변경 검증,"API-007 GET /api/admin/orders, API-008 PATCH /api/admin/orders/{orderId}/status","관리자 주문 관리, 관리자 주문 상세",관리자,"관리자 화면에서 주문 목록이 최신순으로 표시되고, 특정 주문 상세로 이동해 상태를 RECEIVED→PREPARING→COMPLETED 순서대로 변경하면 즉시 반영된다.",KSD,,"LMIS-ORDER-001~004, WBS-035/036. 2026-07-05 신규 등록 — SCR-010이 샘뭇지된 TC-006(품절 검증)을 오류로 연결하고 있었고 실제 관리자 주문 플로우 검증 TC는 없었음. (2026-07-05 재수정: WBS 번호 중무이어서 034/035/036으로 재번호)",예정,1) 새 주문 1건 생성(키오스크에서) 2) 관리자 화면에서 주문 목록 최상단에 노출 확인 3) 해당 주문 클릭해 상세 이동 4) 상태를 PREPARING으로 변경 5) 목록 화면에서 변경된 상태 확인,,N,상,최소 1건 이상의 주문이 이미 상태로 존재,신규 주문 1건,"관리자 주문 목록/상세 조회 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EB%AA%A9%EB%A1%9D%20%EC%83%81%EC%84%B8%20%EC%A1%B0%ED%9A%8C%2067a51ef04f0b821c9d77811c4e813c41.md), 관리자 주문 상태 변경 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%20%EC%A3%BC%EB%AC%B8%20%EC%83%81%ED%83%9C%20%EB%B3%80%EA%B2%BD%2002751ef04f0b827cb7e781935cb20a90.md)",관리자의 주문 상태 관리 (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EA%B4%80%EB%A6%AC%EC%9E%90%EC%9D%98%20%EC%A3%BC%EB%AC%B8%20%EC%83%81%ED%83%9C%20%EA%B4%80%EB%A6%AC%2039151ef04f0b81a4b874ea63b2e87f81.md)
TC-001,먹고가기/포장 선택 및 orderType 유지 검증,API-005 POST /api/orders (orderType 필드),SCR-001 홈 (매장·포장),화면,홈(SCR-001)에서 매장(먹고가기)/포장 선택 후 장바구니·주문확인(SCR-005) 컨펌 팝업·주문 생성까지 orderType(EAT_IN/TAKE_OUT)이 유지되고 API-005 요청에 반영된다.,FWD,,2026-07-06: SCR-002→001 병합. 주문확인은 SCR-005 컨펌 팝업.,예정,1) 홈(SCR-001)에서 매장(먹고가기) 선택 2) 메뉴 1건 장바구니 담기 3) 장바구니·주문확인(SCR-005)에서 orderType 확인 4) 컨펌 팝업 확인 후 API-005 body의 orderType 확인,,N,상,키오스크 홈 화면 접근 가능,"orderType=EAT_IN, menuId=364",주문 생성 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%A3%BC%EB%AC%B8%20%EC%83%9D%EC%84%B1%2030b51ef04f0b8358af2f01c096421506.md),매장/포장 여부 선택 (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%A7%A4%EC%9E%A5%20%ED%8F%AC%EC%9E%A5%20%EC%97%AC%EB%B6%80%20%EC%84%A0%ED%83%9D%2039151ef04f0b81a8aba7e755a9ce72c4.md)
TC-016,포인트·쿠폰 적립 및 QR 할인 적용,"API-018, API-020","SCR-007, SCR-021",장치,"스탬프 적립 1회 확인 후 결제 완료, 쿠폰 스캔 시 할인 반영·최종 금액 표시",KSD,,,예정,1. 결제(SCR-007) 진입 2. 멤버십 적립 확인(SCR-021) 1회 3. 쿠폰 QR 스캔(선택) 4. 가상 결제 승인 5. SCR-008에서 적립 결과 확인,,N,중,멤버십 회원 또는 유효 쿠폰 QR 보유,"memberId=10, 유효 쿠폰 QR 1건","멤버십 스탬프 적립 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%A9%A4%EB%B2%84%EC%8B%AD%20%EC%8A%A4%ED%83%AC%ED%94%84%20%EC%A0%81%EB%A6%BD%2039151ef04f0b818e8ae4db2c84c7715b.md), QR/바코드 스캔 처리 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/QR%20%EB%B0%94%EC%BD%94%EB%93%9C%20%EC%8A%A4%EC%BA%94%20%EC%B2%98%EB%A6%AC%2039451ef04f0b81499108cd8039ba927e.md)","멤버십 스탬프 1회 확인 후 자동 적립 (LMIS-MEMBER-001) (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EB%A9%A4%EB%B2%84%EC%8B%AD%20%EC%8A%A4%ED%83%AC%ED%94%84%201%ED%9A%8C%20%ED%99%95%EC%9D%B8%20%ED%9B%84%20%EC%9E%90%EB%8F%99%20%EC%A0%81%EB%A6%BD%20(LMIS-MEMBER-001)%2039151ef04f0b81ebb344fed659c7976a.md), QR/바코드로 쿠폰 인식 후 결제 (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/QR%20%EB%B0%94%EC%BD%94%EB%93%9C%EB%A1%9C%20%EC%BF%A0%ED%8F%B0%20%EC%9D%B8%EC%8B%9D%20%ED%9B%84%20%EA%B2%B0%EC%A0%9C%2039151ef04f0b81f5892ce9384de4f834.md)"
TC-015,영수증 출력 여부 선택 및 모의 프린터 요청,API-019,"SCR-008, SCR-020",장치,"영수증 출력 선택 시 모의 프린터 요청 성공, 미선택 시 화면 주문번호 표시",장치,,,예정,1. 결제 완료(SCR-008) 진입 2. 영수증 출력 선택 3. API-019 호출 4. 출력 결과 또는 주문번호 확인,,N,중,"결제 승인 완료, orderId·orderNo 존재",결제 완료 주문 1건,영수증 출력 요청 (06%20API%20%EB%AA%85%EC%84%B8/API%20%EB%AA%85%EC%84%B8%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%98%81%EC%88%98%EC%A6%9D%20%EC%B6%9C%EB%A0%A5%20%EC%9A%94%EC%B2%AD%2039451ef04f0b81bcbd65d8022e44281f.md),영수증 출력 여부 선택 (03%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/%EC%82%AC%EC%9A%A9%EC%9E%90%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4%20%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4/%EC%98%81%EC%88%98%EC%A6%9D%20%EC%B6%9C%EB%A0%A5%20%EC%97%AC%EB%B6%80%20%EC%84%A0%ED%83%9D%2039151ef04f0b81a08f33d8258c24b8d0.md)